departurestation,Metric,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
DVO,A1800_1859_to_A2300_2359,30.07,31.53,33.11,27.8,25.41,33.0,30.42
DWC,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,50.0
DWC,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DWC,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DWC,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,50.0,0.0,0.0
GAU,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAU,A0600_0659_to_A1100_1159,20.08,25.68,22.87,22.09,21.79,19.46,20.54
GAU,A1200_1259_to_A1700_1759,10.98,14.01,13.95,13.18,12.06,13.62,12.79
GAU,A1800_1859_to_A2300_2359,5.68,8.56,8.91,10.08,10.12,10.51,7.36
GAY,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAY,A0600_0659_to_A1100_1159,100.0,0.0,0.0,100.0,0.0,0.0,100.0
GAY,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GAY,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GES,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GES,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GES,A1200_1259_to_A1700_1759,0.0,100.0,0.0,0.0,0.0,0.0,0.0
GES,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMP,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMP,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMP,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,100.0
GMP,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOI,A0000_1259_to_A0500_0559,0.21,0.22,0.0,0.22,0.43,0.43,0.22
GOI,A0600_0659_to_A1100_1159,6.62,3.27,4.86,5.46,6.07,5.65,7.69
GOI,A1200_1259_to_A1700_1759,14.74,17.86,10.6,18.12,18.66,17.39,16.04
GOI,A1800_1859_to_A2300_2359,12.39,16.12,14.79,15.94,16.05,16.52,12.53
GYD,A0000_1259_to_A0500_0559,0.0,0.0,0.0,100.0,0.0,0.0,0.0
GYD,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYD,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GYD,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAN,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAN,A0600_0659_to_A1100_1159,38.86,32.45,40.96,35.64,46.99,31.22,39.76
HAN,A1200_1259_to_A1700_1759,14.51,14.36,6.02,14.89,5.42,16.4,5.42
HAN,A1800_1859_to_A2300_2359,26.42,25.53,28.31,26.6,30.12,25.4,28.31
HDY,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.26
HDY,A0600_0659_to_A1100_1159,13.7,14.72,16.86,14.95,15.72,14.95,14.67
HDY,A1200_1259_to_A1700_1759,12.84,15.72,16.86,16.33,18.81,19.35,14.67
HDY,A1800_1859_to_A2300_2359,9.75,11.32,10.94,11.43,12.24,11.56,10.42
HET,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HET,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HET,A1200_1259_to_A1700_1759,0.0,0.0,100.0,100.0,0.0,0.0,0.0
HET,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HGH,A0000_1259_to_A0500_0559,0.0,0.37,0.0,0.0,0.46,0.0,0.0
HGH,A0600_0659_to_A1100_1159,0.43,0.0,3.24,0.36,0.46,0.0,0.37
HGH,A1200_1259_to_A1700_1759,13.3,26.2,11.15,24.91,17.35,21.32,11.94
HGH,A1800_1859_to_A2300_2359,39.91,33.58,42.81,35.23,34.7,42.34,45.15
HKG,A0000_1259_to_A0500_0559,0.16,0.0,0.0,0.16,0.0,0.0,0.0
HKG,A0600_0659_to_A1100_1159,20.66,19.23,18.31,18.01,19.97,22.08,21.15
HKG,A1200_1259_to_A1700_1759,9.7,9.78,8.6,10.29,9.58,10.24,9.13
HKG,A1800_1859_to_A2300_2359,41.16,41.03,41.4,41.0,43.13,43.2,44.23
HKT,A0000_1259_to_A0500_0559,0.06,0.0,0.0,0.12,0.06,0.06,0.19
HKT,A0600_0659_to_A1100_1159,9.94,12.81,11.2,10.37,12.68,11.31,10.69
HKT,A1200_1259_to_A1700_1759,19.03,22.36,20.98,20.31,22.79,22.06,21.19
HKT,A1800_1859_to_A2300_2359,16.36,15.7,16.28,17.76,16.33,20.2,13.0
HND,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,A0600_0659_to_A1100_1159,0.0,0.0,1.89,0.0,0.0,0.0,0.0
HND,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HND,A1800_1859_to_A2300_2359,47.17,40.38,45.28,42.31,44.23,48.08,40.38
HNL,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNL,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNL,A1200_1259_to_A1700_1759,25.93,0.0,23.08,0.0,33.33,0.0,29.63
HNL,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRB,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRB,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRB,A1200_1259_to_A1700_1759,100.0,100.0,0.0,100.0,100.0,50.0,100.0
HRB,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSR,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSR,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,100.0
HSR,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSR,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HYD,A0000_1259_to_A0500_0559,0.0,0.0,0.79,0.0,0.0,0.25,0.0
HYD,A0600_0659_to_A1100_1159,5.28,4.92,7.09,5.94,8.25,7.38,8.64
HYD,A1200_1259_to_A1700_1759,9.55,7.51,6.82,9.3,7.99,8.14,8.4
HYD,A1800_1859_to_A2300_2359,20.6,25.65,21.52,27.91,27.32,29.01,28.64
ICN,A0000_1259_to_A0500_0559,2.49,1.86,3.02,4.66,2.8,3.74,2.99
ICN,A0600_0659_to_A1100_1159,24.26,22.51,23.67,23.31,24.71,24.53,23.45
ICN,A1200_1259_to_A1700_1759,30.84,29.93,26.68,27.74,28.44,29.21,30.11
ICN,A1800_1859_to_A2300_2359,5.67,9.51,6.5,7.69,6.99,8.88,8.97
IKA,A0000_1259_to_A0500_0559,73.58,0.0,73.08,64.58,76.92,0.0,0.0
IKA,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKA,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IKA,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILO,A0000_1259_to_A0500_0559,17.5,10.26,7.69,2.56,10.26,8.11,13.51
ILO,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ILO,A1200_1259_to_A1700_1759,25.0,25.64,28.21,30.77,28.21,29.73,27.03
ILO,A1800_1859_to_A2300_2359,25.0,30.77,28.21,28.21,28.21,24.32,21.62
IMF,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMF,A0600_0659_to_A1100_1159,37.74,50.0,40.38,48.08,46.15,40.38,44.23
IMF,A1200_1259_to_A1700_1759,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMF,A1800_1859_to_A2300_2359,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXB,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXB,A0600_0659_to_A1100_1159,0.0,0.0,1.52,0.0,0.0,0.0,0.0
IXB,A1200_1259_to_A1700_1759,52.94,53.03,39.39,47.76,56.06,65.67,62.69
IXB,A1800_1859_to_A2300_2359,1.47,1.52,0.0,5.97,3.03,1.49,2.99
IXC,A0000_1259_to_A0500_0559,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXC,A0600_0659_to_A1100_1159,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IXC,A1200_1259_to_A1700_1759,44.44,51.92,48.08,46.15,48.08,46.15,65.38
